 CALCULATION WITH NEFF7 (VAX VERSION).

 EFFICIENCY OF THE DETECTOR IN
 THE ENERGY RANGE    EMIN             0. KEV
                     EMAX         20000. KEV
 ENERGY BIN WIDTH                    50. KEV

 NE 213 SCINTILLATOR
           DENSITY                0.8790 G/CM**3
           NH/NC                  1.2800
 LIGHT PIPE
           DENSITY                1.1800 G/CM**3
           NH/NC                  1.1000

 RADIUS OF THE SCINTILLATORS        4.28 CM
 HEIGHT   OF THE SCINTILLATOR         4.92 CM
 RADIUS OF THE HOUSING              4.44 CM
 HEIGHT OF THE HOUSING              5.08 CM

 LENGTH OF THE LIGHT PIPE           0.00 CM
 16400. -16450.    0.10848 0.12579 0.14044 0.16390
 16450. -16500.    0.10687 0.12314 0.13801 0.16017
 16500. -16550.    0.10697 0.12283 0.13698 0.16015
 16550. -16600.    0.10718 0.12447 0.13906 0.16086
 16600. -16650.    0.10694 0.12357 0.13836 0.16039
 16650. -16700.    0.10775 0.12350 0.13853 0.16048
 16700. -16750.    0.10673 0.12276 0.13815 0.16056
 16750. -16800.    0.10881 0.12508 0.13961 0.16104
 16800. -16850.    0.10877 0.12509 0.14075 0.16260
 16850. -16900.    0.10818 0.12450 0.14001 0.16208
 16900. -16950.    0.10472 0.12082 0.13652 0.15857
 16950. -17000.    0.10886 0.12524 0.14158 0.16284
 17000. -17050.    0.10676 0.12396 0.14072 0.16213
 17050. -17100.    0.10626 0.12324 0.14053 0.16320
 17100. -17150.    0.10651 0.12419 0.14110 0.16167
 17150. -17200.    0.10843 0.12599 0.14316 0.16504
 17200. -17250.    0.10482 0.12287 0.14145 0.16332
 17250. -17300.    0.10563 0.12336 0.14122 0.16373
 17300. -17350.    0.10393 0.12184 0.14072 0.16163
 17350. -17400.    0.10750 0.12572 0.14419 0.16429
 17400. -17450.    0.10566 0.12429 0.14424 0.16582
 17450. -17500.    0.10462 0.12319 0.14314 0.16245
 17500. -17550.    0.10586 0.12412 0.14342 0.16356
 17550. -17600.    0.10473 0.12450 0.14656 0.16646
 17600. -17650.    0.10605 0.12669 0.14748 0.16842
 17650. -17700.    0.10429 0.12477 0.14668 0.16669
 17700. -17750.    0.10520 0.12602 0.14731 0.16776
 17750. -17800.    0.10390 0.12597 0.14672 0.16733
 17800. -17850.    0.10566 0.12734 0.14797 0.16811
 17850. -17900.    0.10573 0.12867 0.15071 0.17085
 17900. -17950.    0.10470 0.12923 0.15047 0.16941
 17950. -18000.    0.10371 0.12692 0.14900 0.16957
 18000. -18050.    0.10342 0.12768 0.14844 0.16832
 18050. -18100.    0.10528 0.12956 0.15030 0.17001
 18100. -18150.    0.10642 0.13184 0.15189 0.17087
 18150. -18200.    0.10565 0.13021 0.14985 0.16950
 18200. -18250.    0.10318 0.12855 0.14914 0.16920
 18250. -18300.    0.10561 0.12922 0.14784 0.16736
 18300. -18350.    0.10323 0.12772 0.14767 0.16766
 18350. -18400.    0.10411 0.12870 0.14867 0.16788
 18400. -18450.    0.10644 0.13044 0.14793 0.16746
 18450. -18500.    0.10491 0.12875 0.14671 0.16665
 18500. -18550.    0.10565 0.12994 0.14851 0.16682
 18550. -18600.    0.10532 0.12954 0.14689 0.16602
 18600. -18650.    0.10615 0.12978 0.14841 0.16698
 18650. -18700.    0.10841 0.13120 0.14859 0.16618
 18700. -18750.    0.10641 0.13033 0.14710 0.16528
 18750. -18800.    0.10563 0.12908 0.14594 0.16532
 18800. -18850.    0.10839 0.13196 0.14904 0.16760
 18850. -18900.    0.10719 0.12951 0.14574 0.16407
 18900. -18950.    0.10681 0.12931 0.14585 0.16446
 18950. -19000.    0.10623 0.12975 0.14711 0.16514
 19000. -19050.    0.10719 0.12914 0.14543 0.16180
 19050. -19100.    0.10864 0.13161 0.14844 0.16585
 19100. -19150.    0.10510 0.12719 0.14419 0.16219
 19150. -19200.    0.10706 0.12902 0.14573 0.16423
 19200. -19250.    0.10776 0.13000 0.14565 0.16325
 19250. -19300.    0.10625 0.12822 0.14389 0.16167
 19300. -19350.    0.10775 0.12965 0.14517 0.16365
 19350. -19400.    0.10562 0.12722 0.14362 0.16246
 19400. -19450.    0.10849 0.13052 0.14702 0.16533
 19450. -19500.    0.10727 0.12899 0.14527 0.16436
